iteration,exact_match,first_word_accuracy
7500,0.4462,0.6677
500,0.371,0.6722
27000,0.3738,0.915
36000,0.2387,0.5865
71500,0.2554,0.5319
62000,0.2701,0.5149
50500,0.3182,0.5584
67500,0.2994,0.6012
18500,0.2938,0.5706
45500,0.3153,0.4768
59000,0.3188,0.6642
45000,0.3147,0.4792
54000,0.2391,0.5343
69000,0.2998,0.6024
61500,0.2705,0.5143
2000,0.6284,0.8952
11500,0.6283,0.9676
41000,0.2942,0.5894
55500,0.332,0.6839
26000,0.2264,0.4867
15000,0.3791,0.8661
72000,0.2553,0.5325
65000,0.2671,0.5083
24500,0.2615,0.5172
43500,0.2595,0.4793
41500,0.2676,0.5307
74500,0.2566,0.543
16000,0.247,0.7249
39500,0.1964,0.5616
38500,0.2015,0.5471
46000,0.3158,0.4775
55000,0.2975,0.6313
63500,0.2686,0.5122
7000,0.5414,0.7709
33500,0.2984,0.9173
23500,0.3568,0.644
10500,0.313,0.7386
52500,0.318,0.6054
5000,0.2929,0.6093
28000,0.3811,0.9163
14500,0.4571,0.9333
61000,0.2585,0.4972
27500,0.4131,0.9525
